name,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,loc,numParameters,numAttr,numMethods,setters,getters,isCollection,isAbstractClass,numWordName,isOrEr,isController,numImports,numOutboundInv,numIfs,isClassRes
RTDataHighlightInteraction,public,5,0,0,28,4,3,5,0,3,false,false,4,false,false,6,9,0,true
RTDataInteractionBuilder,public,5,1,1,66,4,2,6,0,2,false,false,4,true,false,6,15,1,true
RTDataStudioPlugin,private,4,0,0,19,0,0,4,0,0,false,false,4,false,false,4,6,0,true
RTDataTest,private,1,17,17,209,0,0,18,0,0,false,false,3,false,false,11,156,0,true
RTDataToggleInteraction,public,3,1,1,25,3,2,4,0,2,false,false,4,false,false,5,14,0,true
RTDatasets,public,3,4,4,202,3,0,7,0,0,false,false,2,false,false,4,27,3,true
RTDateLayout,public,4,0,0,32,2,1,4,1,1,false,false,3,false,false,5,16,2,true
RTDecoratedLine,public,26,14,14,136,11,3,40,3,1,false,false,3,false,false,17,46,0,true
RTDecoratedTest,private,0,1,1,43,0,0,1,0,0,false,false,3,false,false,11,22,0,true
RTDecoration,public,3,3,3,53,8,1,6,0,0,false,false,2,false,false,10,38,0,true
RTDecorationItem,public,6,0,0,17,3,3,6,2,3,false,false,3,false,false,2,0,0,true
RTDepMatrix,public,5,0,0,37,4,3,5,0,3,false,false,3,false,false,3,9,1,true
RTDepMatrixExample,private,0,6,6,76,0,0,6,0,0,false,false,4,false,false,7,41,0,true
RTDependenciesBetweenPackagesScript,private,3,0,0,49,0,0,3,0,0,false,false,5,false,false,3,1,0,true
RTDevVarDecorator,public,7,1,1,46,3,3,8,3,3,false,false,4,true,false,4,18,0,true
RTDiamond,private,1,0,0,7,0,0,1,0,0,false,false,2,false,false,3,0,0,true
RTDirectLayoutTranslator,public,2,0,0,9,2,0,2,0,0,false,false,4,true,false,3,1,0,true
RTDirectedLine,public,4,1,1,38,5,1,5,0,1,false,false,3,false,false,4,6,0,true
RTDistribution,public,19,14,14,160,22,9,33,9,9,false,false,2,false,false,6,52,4,true
RTDistributionTest,private,0,6,6,69,0,0,6,0,0,false,false,3,false,false,5,35,0,true
RTDominanceTreeLayout,public,1,0,0,7,1,0,1,0,0,false,false,4,false,false,2,0,0,true
RTDominanceTreeLayoutTest,private,0,3,3,62,0,0,3,0,0,false,false,5,false,false,13,50,0,true
RTDoubleArrowedLine,public,10,1,1,48,7,2,11,2,2,false,false,4,false,false,5,9,2,true
RTDoubleBarBuilder,public,10,4,4,108,12,5,14,0,0,false,false,4,true,false,13,70,0,true
RTDoubleGrapher,public,24,2,2,121,4,3,26,0,0,false,false,3,true,false,3,47,7,true
RTDoubleGrapherBuilderTest,private,0,1,1,24,0,0,1,0,0,false,false,5,false,false,5,18,0,true
RTDoubleScrollBar,public,1,1,1,30,2,0,2,0,0,false,false,4,false,false,3,18,0,true
RTDoubleScrollBarTest,private,1,2,2,17,0,1,3,0,0,false,false,5,false,false,6,9,0,true
RTDoubleSlider,public,20,7,7,216,12,13,27,3,1,false,false,3,true,false,14,89,8,true
RTDoubleSliderTest,private,0,5,5,50,0,0,5,0,0,false,false,4,false,false,3,20,0,true
RTDragAndDroppable,public,5,2,2,35,5,3,7,0,0,false,false,4,false,false,7,12,2,true
RTDragAndDroppableTest,private,1,0,0,13,0,0,1,0,0,false,false,5,false,false,4,3,0,true
RTDraggable,public,3,0,0,12,5,0,3,0,0,false,false,2,false,false,3,2,0,true
RTDraggableChildren,public,1,0,0,35,1,0,1,0,0,false,false,3,false,false,4,16,2,true
RTDraggableSnapToGrid,public,8,3,3,78,5,2,11,1,1,false,false,5,false,false,6,44,4,true
RTDraggableTest,private,1,8,8,81,0,4,9,0,0,false,false,3,false,false,8,51,0,true
RTDraggableView,public,10,1,1,69,1,1,11,1,0,false,false,3,false,false,9,13,1,true
RTDraggableViewTest,private,2,5,5,75,0,1,7,0,0,false,false,4,false,false,11,44,0,true
